Start,Thu, 14 Feb 2019 00:27:50 
End,Thu, 14 Feb 2019 00:27:55 
Starting time: Thu, 14 Feb 2019 01:07:51 
Starting time: Thu, 14 Feb 2019 01:09:52 
Starting time: Thu, 14 Feb 2019 01:10:31 
Starting time: Thu, 14 Feb 2019 01:11:19 
Starting time: Thu, 14 Feb 2019 01:12:32 
Ending time: Thu, 14 Feb 2019 01:12:40 
Starting time: Thu, 14 Feb 2019 01:12:50 
Ending time: Thu, 14 Feb 2019 01:13:13 
Starting time: Thu, 14 Feb 2019 01:16:03 
Ending time: Thu, 14 Feb 2019 01:16:12 
Starting time: Thu, 14 Feb 2019 01:16:27 
Ending time: Thu, 14 Feb 2019 01:16:37 
Starting time: Thu, 14 Feb 2019 01:28:42 
Ending time: Thu, 14 Feb 2019 01:29:32 
Starting time: Thu, 14 Feb 2019 01:29:54 
Ending time: Thu, 14 Feb 2019 01:30:01 
Starting time: Thu, 14 Feb 2019 01:30:08 
Ending time: Thu, 14 Feb 2019 01:30:22 
Starting time: Thu, 14 Feb 2019 01:30:44 
Ending time: Thu, 14 Feb 2019 01:30:53 
Starting time: Thu, 14 Feb 2019 03:28:37 
Starting time: Thu, 14 Feb 2019 03:30:51 
Ending time: Thu, 14 Feb 2019 03:31:24 
Starting time: Thu, 14 Feb 2019 03:32:42 
Starting time: Thu, 14 Feb 2019 03:33:55 
Ending time: Thu, 14 Feb 2019 03:34:19 
Starting time: Thu, 14 Feb 2019 03:40:20 
Starting time: Thu, 14 Feb 2019 04:15:16 
Starting time: Thu, 14 Feb 2019 04:16:06 
Starting time: Thu, 14 Feb 2019 04:18:21 
Starting time: Thu, 14 Feb 2019 04:18:47 
Ending time: Thu, 14 Feb 2019 04:18:58 
Starting time: Thu, 14 Feb 2019 06:09:09 
Ending time: Thu, 14 Feb 2019 06:09:44 
Starting time: Thu, 14 Feb 2019 06:09:58 
Starting time: Thu, 14 Feb 2019 06:12:34 
Starting time: Thu, 14 Feb 2019 06:13:20 
Starting time: Thu, 14 Feb 2019 06:14:34 
Starting time: Thu, 14 Feb 2019 06:15:54 
Starting time: Thu, 14 Feb 2019 06:17:43 
Ending time: Thu, 14 Feb 2019 06:18:35 
